scenario,central_vs_ondemand_error,central_vs_bvc_error,ondemand_vs_bvc_error,central_vs_ondemand_collisions,central_vs_bvc_collisions,ondemand_vs_bvc_collisions,central_final_error,ondemand_final_error,bvc_final_error,central_min_distance,ondemand_min_distance,bvc_min_distance
1,-61.30210580784687,-96.05238480495618,-21.543599088846367,92.85714285714286,100.0,100.0,0.01974971412589631,0.0306560093637655,0.034387018236083165,1.8627688549480612,1.7025383699744667,1.6387518293115626
3,-22.935928066560237,-20.149411245542602,2.266641546406966,0.0,0.0,0.0,0.025480574703978607,0.02812846642322475,0.030853681878993778,1.4322821443023295,1.2871571563938184,1.3133730245702413
7,-19.840290227291533,-47.36702665285997,-22.969517491455232,100.0,100.0,0.0,0.05118425647541983,0.025127560329949183,0.20830968465030797,1.9718479047125455,1.5101740511229942,1.5885280255287129
9,-25.160353670029657,-61.58683727086692,-29.1038516053345,100.0,100.0,0.0,0.027303282824890873,0.024138674194507558,0.49590003079201445,0.6508333116847426,0.9046418117390762,1.2574172577254743
