scenario,central_error,central_collisions,central_final_error,central_min_distance,static_ondemand_error,static_ondemand_collisions,static_ondemand_final_error,static_ondemand_min_distance,static_bvc_error,static_bvc_collisions,static_bvc_final_error,static_bvc_min_distance
1,0.6702829860911911,4.666666666666667,0.01974971412589631,1.8627688549480612,1.0811805714368086,0.3333333333333333,0.0306560093637655,1.7025383699744667,1.3141057791736528,0.0,0.034387018236083165,1.6387518293115626
2,0.45072611656247225,5.0,0.029511753627179487,1.377347768742724,0.7329307066659582,0.0,0.03285962254689038,1.2282609051216915,0.8520663937190261,0.0,0.04011518775447941,1.306413736517372
3,0.3920640246864928,0.0,0.025480574703978607,1.4322821443023295,0.4819875473634478,0.0,0.02812846642322475,1.2871571563938184,0.4710626173663999,0.0,0.030853681878993778,1.3133730245702413
4,0.7194885391664325,4.666666666666667,0.016992388840122923,1.9295003964421171,1.1741764887015924,0.0,0.026512406085712103,1.749150877155389,1.3550922660812514,0.0,0.030904394495293964,1.7057118356372218
5,0.718895549873953,3.6666666666666665,0.020199466351018165,1.9200799969700808,1.1988347318810864,0.3333333333333333,0.03566001880387911,1.7176887619956973,1.339312117722795,0.0,0.028444711049894877,1.752349923693206
6,0.45695506069768577,5.0,0.024146239982091065,1.5144694151456342,0.6841791721389853,0.6666666666666666,0.03359655321176424,1.381266611892852,1.0863884625887401,0.0,0.2074565897701559,1.2249644799949795
